Test-suit ID,Test case ID,Priority,Module,Summary,Preconditions,Test data,Steps,Expected result,Remarks
Функциональные проверки,,,,,,,,,
TS-01,TC -01,High,Форма авторизации,Успешная авторизация пользователя с использованием валидных данных,1. Открыт сайт https://try.vikunja.io/login;                                   2. Открыта форма авторизации пользователя;                                                                           3. Пользователь зарегистрирован в системе.,1. Поле логин - kostyatest                                                                    2. Поле пароль - testtest,"1. Ввести значение  в поле ""Логин"";                                  
2. Ввести значение  в поле ""Пароль"";                               
3. Нажать кнопку ""Sign In""","1. Введенное значение отображено в поле ""Логин""; 
2. Введенное значение отображено в поле ""Пароль""; 
3. Пользователь авторизован в систему. Отображен личный кабинет пользователя.",
,ТС - 02,High,Форма авторизации, Неуспешная авторизация пользователя с невалидным логином и валидным паролем,"1. Открыт сайт https://try.vikunja.io/login;                                   
2. Открыта форма авторизации пользователя;                                                                           
3. Пользователь зарегистрирован в системе.","1. Поле логин - kostya                                                                   
2. Поле пароль - testtest","1. Ввести значение  в поле ""Логин"";                                  
2. Ввести значение  в поле ""Пароль"";                               
3. Нажать кнопку ""Sign In""","1. Введенное значение отображено в поле ""Логин"";
2. Введенное значение отображено в поле ""Пароль""; 
3. Пользователь неавторизован в систему. Отображена ошибка ""Неверное имя пользователя или пароль.""",
,ТС - 03,High,Форма авторизации,Неуспешная авторизация пользователя с валидным логином и невалидным паролем,"1. Открыт сайт https://try.vikunja.io/login;                                   
2. Открыта форма авторизации пользователя;                                                                           
3. Пользователь зарегистрирован в системе.","1. Поле логин - kostyatest                                                                   
2. Поле пароль - testtest123","1. Ввести значение  в поле ""Логин"";                                  
2. Ввести значение  в поле ""Пароль"";                               
3. Нажать кнопку ""Sign In""","1. Введенное значение отображено в поле ""Логин""; 
2. Введенное значение отображено в поле ""Пароль""; 
3. Пользователь неавторизован в систему. Отображена ошибка ""Неверное имя пользователя или пароль.""",
,ТС - 04,High,Форма авторизации,"Неуспешная авторизация пользователя с пустыми полями ""Логин"" и ""Пароль""","1. Открыт сайт https://try.vikunja.io/login;                                   
2. Открыта форма авторизации пользователя;                                                                           
3. Пользователь зарегистрирован в системе.",,"1. Оставить пустым поле ""Логин"";                                  
2. Оставить пустым  поле ""Пароль"";                               
3. Нажать кнопку ""Sign In""","1.  Значение не отображается в поле ""Логин"";                                                                      2. Значение не отображается в поле ""Пароль"";                                                                             3. Пользователь неавторизован в систему. Отображена ошибка ""Неверное имя пользователя или пароль.""Пользователь не авторизован в систему. Отображаются подсказки об обязательном заполнении полей ""Логин"" и ""Пароль""",
,ТС - 05,High,Форма авторизации,Неуспешная авторизация заблокированного пользователя в системе,"1. Открыт сайт https://try.vikunja.io/login;                                   
2. Открыта форма авторизации пользователя;                                                                           
3. Пользователь заблокирован в системе.","1. Поле логин - kostyatest                                                                    
2. Поле пароль - testtest","1. Ввести значение в поле ""Логин"";                                  
2. Ввести значение в поле ""Пароль"";                               
3. Нажать кнопку ""Sign In""","1. Введенное значение отображено в поле ""Логин"";
2. Введенное значение отображено в поле ""Пароль""; 
3. Пользователь неавторизован в систему. Отображена ошибка ""Пользователь заблокирован "".",
,ТС - 06,High,Форма авторизации,Неуспешная авторизация незарегистрированного пользователя в системе,"1. Открыт сайт https://try.vikunja.io/login;                                   
2. Открыта форма авторизации пользователя;                                                                           
3. Пользователь незарегистрирован в системе.","1. Поле логин - vkv                                                                    
2. Поле пароль - WT123","1. Ввести значение  в поле ""Логин"";                                  
2. Ввести значение  в поле ""Пароль"";                               
3. Нажать кнопку ""Sign In""","1. Введенное значение отображено в поле ""Логин""; 
2. Введенное значение отображено в поле ""Пароль""; 
3. Пользователь неавторизован в систему. Отображена ошибка ""Пользователь незарегистрирован в системе "".",
,ТС - 07,High,Форма авторизации,Работа иконки сокрытие/показ пароля,"1. Открыт сайт https://try.vikunja.io/login;                                   
2. Открыта форма авторизации пользователя;                                                                           
3. Пользователь зарегистрирован в системе.",,"1. Ввести значение в поле ""Пароль""                                                                                                                            2. Нажать на иконку глаз","1. Значение поля скрыто по умолчанию                                                                                    
2. Показывает пароль",
,ТС - 08,High,Форма авторизации,Успешный переход по ссылке на форму восстановления пароля,"1. Открыт сайт https://try.vikunja.io/login;                                   
2. Открыта форма авторизации пользователя;                                                                           
3. Пользователь зарегистрирован в системе.",,"1. Нажать на ссылку""Забыли пароль?""                                                          ","1.Происходит переход на форму ""Восстановить пароль"" с указанием ввода значения в поле ""Email"";                                                                                ",
,ТС - 09,High,Форма авторизации,Успешный переход по ссылке на форму Регистрации,"1. Открыт сайт https://try.vikunja.io/login;                                   
2. Открыта форма авторизации пользователя;                                                                           
3. Пользователь зарегистрирован в системе.",,"1. Нажать на ссылку ""Создать аккаунт""",1. Происходит переход на форму регистрации,
Нефункциональные проверки,,,,,,,,,
Тестирование пользовательского интерфейса,,,,,,,,,
,ТС-10,Low,Форма авторизации,"Наличие ссылок ""Забыли пароль"" и ""Создать аккаунт""","1. Открыт сайт https://try.vikunja.io/login;                                   
2. Открыта форма авторизации пользователя;                                                                        ",,"1. Установить курсор на ссылку ""Забыли пароль"";                                                      
2. Установить курсор на ссылку ""Создать аккаунт""","Цвет ссылки изменен, появляется курсор в виде руки.",
